"51","2"
"51","12"
"12","42","119"
"119","92"
"92","92"
"92","83","33","29"
"29","136","88","35"
"35","0","27","5"
"5","58","78"
"78","55"
"55","0","78"
"0","93"
"93","0","81","139"
"0","151","0"
"151","0"
"0","107"
"107","131","132"
"78","132","44","31"
"44","141","26","44"
"26","0","0","5"
"0","87","24"
"87","148"
"148","0","127","74"
"74","45"
"45","0"
"0","0","0"
"24","0","0","20"
"0","0","35","115"
"115","0","0"
"0","78","13","99"
"99","77","30","15"
"30","40"
"40","88","0","135"
"0","82"
"82","5","26"
"26","27","0"
"0","78","72","0"
"0","20","0","50"
"50","41","26","39"
"26","24"
"24","0"
"0","203","0","78"
"0","49","0"
"88","0","0","0"
"0","0","42","102"
"102","99","3"
"3","25"
"25","0","41","0"
"0","29","57","0"
"29","96","15"
"96","22","247","39"
"247","28","127","91"
"91","63","103"
"103","16","52"
"52","20","0"
"57","0","0"
"0","0"
"135","0","107"
"107","0","15","12"
"0","145","86"
"86","52","0","81"
"81","62","95"
"95","131","156","142"
"156","100","13","73"
"73","0","0"
"0","70","110"
"70","0","55"
"0","0"
"39","0","113","0"
"0","137","90"
"90","71"
"71","37"
"139","20","37","0"
"15","0","0"
"0","137"
"137","51","93"
"15","93","70"
"70","92"
"78","92","1"
"1","71"
"71","89","25"
"55","25","71","0"
"0","0"
"15","0","61"
"39","12","61","30"
"142","30","49"
"5","49","4"
"0","4","4"
"110","4","28"
"28","0"
"0","40"
"40","228","32"
"32","0","66","0"
"0","133","0"
"0","127"
"127","0","87"
"87","86","68","0"
"0","0","54"
"44","0","54","172"
"172","0"
"141","0","0","0"
"0","166","0","55"
"166","58"
"58","49","0"
"49","68"
"68","65"
"133","65","20"
"20","149","12"
"0","149","85","0"
"85","89"
"89","47"
"47","75","59","0"
"75","5","20"
"0","0","5","68"
"68","32"
"32","0","0"
"131","100","0","116"
"116","0","20"
"0","0","23"
"0","0"
"0","39","9"
"39","0","40","0"
"0","55"
"83","55","0"
"20","71","0","93"
"93","0"
"0","0"
"33","0","0"
"0","28","26","79"
"0","28","0","54"
"0","88"
"42","78","88","0"
"27","0","0"
"0","0","45"
"45","29","0","123"
"29","50"
"52","0","50","66"
"66","0","11","0"
"0","54","31"
"54","0"
"86","40","0","0"
"88","0","0"
"0","40"
"78","13","40","3"
"31","3","5"
"5","71","20"
"71","0","0","19"
"0","1"
"1","68","31"
"11","68","0","0"
"0","0","122"
"0","0"
"0","0","75"
"77","0","75","0"
"0","55","102"
"203","55","65"
"54","65","0"
"0","80"
"80","0","95","0"
"0","0"
"0","0"
"0","8"
"58","68","8","80"
"0","80","152"
"0","152","0"
"0","0"
"0","92"
"66","92","0"
"0","0","0"
"99","0","119","124"
"119","0"
"23","0","171"
"171","17"
"20","102","17","43"
"124","43","0","0"
"0","42","51"
"127","42","0"
"0","0","5"
"72","5","104"
"104","0"
"0","20","0","0"
"59","0","56"
"26","56","5"
"5","33","52","0"
"0","33","29","13"
"29","22","53"
"0","22","63"
"63","52"
"52","35"
"35","51"
"0","51","0","212"
"0","0","27"
"13","27","27","5"
"81","0","27","77"
"77","0"
"0","0","0"
"51","0","165"
"165","64"
"137","64","6","70"
"6","49"
"49","168"
"41","49","168","0"
"0","33"
"28","33","0"
"0","0","0","0"
"20","19","0","90"
"5","90","0","59"
"123","95","0","0"
"0","0","112"
"0","34","0"
"34","0","0"
"0","0","72"
"59","0","72","0"
"52","0","14","16"
"14","192"
"12","192","86"
"86","61"
"61","60"
"16","0","60","89"
"89","94"
"94","60"
"0","60","71"
"112","16","71","42"
"42","0"
"0","137"
"31","137","25"
"127","25","0"
"63","131","0","0"
"79","122","0","60"
"60","0"
"0","40"
"228","0","40","52"
"52","0"
"41","0","86"
"27","0","86","120"
"89","120","129"
"129","50"
"50","89"
"0","13","89","0"
"5","42","0","37"
"145","55","37","0"
"20","0","0"
"136","0","0"
"0","123"
"35","113","123","24"
"31","24","13"
"13","0"
"0","53","0","95"
"95","116"
"9","212","116","115"
"22","0","115","2"
"2","0"
"62","0","13"
"51","13","0"
"0","0"
"2","0","70","0"
